"filename", "language", "JavaScript", "Markdown", "JSON", "CSS", "comment", "blank", "total"
"/home/williamglass/inventory-app-front-end/src/components/userModals/EditUserModal.js", "JavaScript", 424, 0, 0, 0, 22, 31, 477
"/home/williamglass/inventory-app-front-end/src/components/userModals/index.js", "JavaScript", 8, 0, 0, 0, 3, 1, 12
"/home/williamglass/inventory-app-front-end/src/components/utilities/MapNotes.js", "JavaScript", 24, 0, 0, 0, 0, 0, 24
"/home/williamglass/inventory-app-front-end/src/components/utilities/ToggleSwitch.js", "JavaScript", 21, 0, 0, 0, 0, 4, 25
"/home/williamglass/inventory-app-front-end/src/controllers/AdminLogController.js", "JavaScript", 0, 0, 0, 0, 0, -1, -1
"/home/williamglass/inventory-app-front-end/src/controllers/AuthController.js", "JavaScript", 3, 0, 0, 0, 2, -1, 4
"/home/williamglass/inventory-app-front-end/src/controllers/GenericController.js", "JavaScript", 0, 0, 0, 0, -14, -1, -15
"/home/williamglass/inventory-app-front-end/src/controllers/ItemController.js", "JavaScript", 0, 0, 0, 0, -4, -1, -5
"/home/williamglass/inventory-app-front-end/src/controllers/LoginLogoutController.js", "JavaScript", 1, 0, 0, 0, 0, 1, 2
"/home/williamglass/inventory-app-front-end/src/controllers/UserController.js", "JavaScript", 7, 0, 0, 0, 2, 0, 9
"/home/williamglass/inventory-app-front-end/src/controllers/index.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2
"/home/williamglass/inventory-app-front-end/src/index.js", "JavaScript", -3, 0, 0, 0, -1, 0, -4
"/home/williamglass/inventory-app-front-end/src/styles/App.css", "CSS", 0, 0, 0, 1, -6, 0, -5
"/home/williamglass/inventory-app-front-end/src/styles/Modal.css", "CSS", 0, 0, 0, 69, 3, 3, 75
"/home/williamglass/inventory-app-front-end/src/styles/Table.css", "CSS", 0, 0, 0, 195, 22, 33, 250
"/home/williamglass/inventory-app-front-end/src/styles/table.css", "CSS", 0, 0, 0, -135, -21, -27, -183
"Total", "-", 1270, 106, 20001, 130, 0, 215, 21722
